Gene_name,Locus_tag,Category,Protein_complex_1,Protein_complex_2
sbtA,slr1512,CCM,,
bicA,slr1515,CCM,,
cmpA,slr0040,CCM,BCT-1,
cmpB,slr0041,CCM,BCT-1,
cmpC,slr0043,CCM,BCT-1,
cmpD,slr0044,CCM,BCT-1,
porB,slr0042,CCM,,
cupA,sll1734,CCM,NDH-I3,
ndhD3,sll1733,CCM,NDH-I3,
ndhF3,sll1732,CCM,NDH-I3,
cupB,slr1302,CCM,NDH-I4,
ndhD4,sll0027,CCM,NDH-I4,
ndhF4,sll0026,CCM,NDH-I4,
ndhB,sll0223,CCM,NDH-I4,NDH-I3
ecaB,slr0051,CCM,,
sbtB,slr1513,Regulatory,,
cmpR,sll0030,Regulatory,,
ndhR/ccmR,sll1594,Regulatory,,
PII/glnB,ssl0707,Regulatory,,
ntcA,sll1423,Regulatory,,
cyAbrB1,sll0359,Regulatory,,
cyAbrB2,sll0822,Regulatory,,
cya1,slr1991,Regulatory,,
rre18,sll1624,Regulatory,,
rre20,slr2100,Regulatory,,
ccmA,sll0934,Carboxysome,,
ccmK4,slr1839,Carboxysome,,
ccmK3,slr1838,Carboxysome,,
ccmK2,sll1028,Carboxysome,,
ccmK1,sll1029,Carboxysome,,
ccmL,sll1030,Carboxysome,,
ccmM,sll1031,Carboxysome,,
ccmN,sll1032,Carboxysome,,
ccmO,slr0436,Carboxysome,,
